scenario,year,from_core,to_core,path_length_km,cost_raw
veg_balanced,2016,38,42,29.698484809835655,56593.78515625
veg_balanced,2016,40,42,21.41421356237139,49848.08984375
veg_balanced,2016,40,43,132.53910524340048,297846.21875
veg_balanced,2016,40,45,137.48023074035575,286591.5625
veg_balanced,2016,41,43,93.29646455628384,269723.9375
veg_balanced,2016,41,45,148.10764773832452,411539.5
veg_balanced,2016,42,50,51.828427124746625,98952.328125
veg_balanced,2016,43,45,25.55634918610459,76188.078125
veg_balanced,2016,43,49,149.97056274847273,337373.5
veg_balanced,2016,45,49,111.79898987322397,256926.375
veg_balanced,2016,45,50,275.9066376115471,512509.125
veg_balanced,2016,45,53,267.5979797464472,688632.8125
veg_balanced,2016,49,53,125.55634918611068,359771.9375
veg_balanced,2016,50,53,260.4924240491822,666005.375
veg_balanced,2020,1,9,99.87005768509856,127228.984375
veg_balanced,2020,1,13,236.37972567695635,283807.1875
veg_balanced,2020,1,17,242.7401153701835,360643.15625
veg_balanced,2020,9,13,26.798989873219607,43928.1328125
veg_balanced,2020,9,17,58.07106781186323,92298.7890625
veg_balanced,2020,13,17,98.01219330881582,149698.390625
veg_balanced,2020,17,24,32.24264068711808,53852.23828125
veg_balanced,2020,18,24,9.41421356237589,23813.447265625
veg_balanced,2020,18,28,158.0416305603464,257074.671875
veg_balanced,2020,18,33,117.98275605729712,193014.03125
veg_balanced,2020,24,28,21.00000000000093,31310.826171875
veg_balanced,2020,24,33,39.698484809838924,62727.453125
veg_balanced,2020,24,38,104.72792206136147,161990.515625
veg_balanced,2020,26,27,108.56854249493257,205056.625
veg_balanced,2020,26,31,24.31370849898871,44784.984375
veg_balanced,2020,26,32,117.98275605729822,239837.046875
veg_balanced,2020,27,30,203.45584412272535,330923.28125
veg_balanced,2020,27,31,318.7523086789904,627627.5
veg_balanced,2020,27,32,449.10764773831977,884418.0
veg_balanced,2020,27,41,158.19595949289376,289308.5
veg_balanced,2020,28,33,21.414213562380546,35992.265625
veg_balanced,2020,28,38,35.55634918609702,62567.73828125
veg_balanced,2020,30,36,30.99999999999907,46143.203125
veg_balanced,2020,30,40,136.26702730475913,212580.21875
veg_balanced,2020,30,41,169.9066376115501,282551.28125
veg_balanced,2020,31,32,64.72792206135018,116792.046875
veg_balanced,2020,33,38,41.82842712474805,66421.8671875
veg_balanced,2020,36,40,63.840620433562016,106041.2734375
veg_balanced,2020,36,41,148.78174593052134,240797.453125
veg_balanced,2020,36,43,109.66904755831357,245200.375
veg_balanced,2020,38,40,25.556349186110793,42405.1796875
veg_balanced,2020,38,42,29.698484809835655,53316.67578125
veg_balanced,2020,40,42,21.82842712474449,50722.1328125
veg_balanced,2020,40,43,134.19595949289072,280097.5
veg_balanced,2020,40,45,136.30865786509838,281541.3125
veg_balanced,2020,41,43,119.36753236814607,257233.515625
veg_balanced,2020,41,45,148.69343417595385,414047.21875
veg_balanced,2020,42,50,59.69848480983516,97096.4765625
veg_balanced,2020,43,45,31.79898987322179,71703.15625
veg_balanced,2020,43,49,150.38477631084803,314540.84375
veg_balanced,2020,45,49,111.38477631085007,236849.875
veg_balanced,2020,45,50,275.7350647362939,507947.1875
veg_balanced,2020,45,53,268.0121933088206,653113.1875
veg_balanced,2020,49,53,125.14213562373784,346942.9375
veg_balanced,2020,50,53,261.0782104868039,635171.3125
veg_balanced,2024,1,9,99.87005768509692,158327.90625
veg_balanced,2024,1,13,209.27922061358106,338084.84375
veg_balanced,2024,1,17,236.7695526217055,384297.09375
veg_balanced,2024,9,13,26.38477631084542,46948.2734375
veg_balanced,2024,9,17,57.6568542494904,88126.4453125
veg_balanced,2024,13,17,98.01219330881474,142264.71875
veg_balanced,2024,17,24,31.414213562371888,53994.23828125
veg_balanced,2024,18,24,9.41421356237589,25957.55859375
veg_balanced,2024,18,28,163.42640687118956,283829.09375
veg_balanced,2024,18,33,117.98275605730149,205155.578125
veg_balanced,2024,24,28,21.00000000000093,32787.66796875
veg_balanced,2024,24,33,39.69848480983675,67720.0546875
veg_balanced,2024,24,38,104.72792206135874,182069.453125
veg_balanced,2024,26,27,108.56854249492822,212299.09375
veg_balanced,2024,26,31,24.31370849898871,47166.49609375
veg_balanced,2024,26,32,117.98275605729712,253825.09375
veg_balanced,2024,27,30,205.5269119345884,348807.28125
veg_balanced,2024,27,31,317.92388155424396,650322.0
veg_balanced,2024,27,32,444.1370849898333,915810.0
veg_balanced,2024,27,41,158.19595949289376,299371.03125
veg_balanced,2024,28,33,21.00000000000745,36027.02734375
veg_balanced,2024,28,38,37.62741699796832,70561.0625
veg_balanced,2024,30,36,30.99999999999907,53208.203125
veg_balanced,2024,30,40,139.8528137423812,234620.0
